binario/NaiveBayes| CPU: 1000%|, Memória: 100.K |Tempo: 90|, Acc: 97.57469940185547%s (VN: 35369.0 VP: 33830.0 FN: 423.0 FP: 1297.0)
binario/NaiveBayes| CPU: 1000%|, Memória: 100.K |Tempo: 118|, Acc: 97.60994720458984%s (VN: 35394.0 VP: 33830.0 FN: 423.0 FP: 1272.0)
binario/NaiveBayes| CPU: 1000%|, Memória: 100.K |Tempo: 80|, Acc: 97.60994720458984%s (VN: 35394.0 VP: 33830.0 FN: 423.0 FP: 1272.0)
binario/NaiveBayes| CPU: 1000%|, Memória: 100.K |Tempo: 86|, Acc: 97.60994720458984%s (VN: 35394.0 VP: 33830.0 FN: 423.0 FP: 1272.0)
binario/NaiveBayes| CPU: 1000%|, Memória: 100.K |Tempo: 115|, Acc: 97.60994720458984%s (VN: 35394.0 VP: 33830.0 FN: 423.0 FP: 1272.0)
binario/NaiveBayes| CPU: 1000%|, Memória: 100.K |Tempo: 92|, Acc: 97.57469940185547%s (VN: 35369.0 VP: 33830.0 FN: 423.0 FP: 1297.0)
binario/NaiveBayes| CPU: 1000%|, Memória: 100.K |Tempo: 151|, Acc: 76.36317443847656%s (VN: 23847.0 VP: 30309.0 FN: 3944.0 FP: 12819.0)
binario/NaiveBayes| CPU: 1000%|, Memória: 100.K |Tempo: 149|, Acc: 76.36317443847656%s (VN: 23847.0 VP: 30309.0 FN: 3944.0 FP: 12819.0)
binario/NaiveBayes| CPU: 1000%|, Memória: 100.K |Tempo: 155|, Acc: 77.76195526123047%s (VN: 22780.0 VP: 32368.0 FN: 1885.0 FP: 13886.0)
binario/NaiveBayes| CPU: 1000%|, Memória: 100.K |Tempo: 159|, Acc: 79.85588836669922%s (VN: 22800.0 VP: 33833.0 FN: 420.0 FP: 13866.0)
binario/NaiveBayes| CPU: 1000%|, Memória: 100.K |Tempo: 139|, Acc: 81.42528533935547%s (VN: 23913.0 VP: 33833.0 FN: 420.0 FP: 12753.0)
binario/NaiveBayes| CPU: 1000%|, Memória: 100.K |Tempo: 151|, Acc: 73.95338439941406%s (VN: 24126.0 VP: 28321.0 FN: 5932.0 FP: 12540.0)
binario/NaiveBayes| CPU: 1000%|, Memória: 100.K |Tempo: 41|, Acc: 70.49591827392578%s (VN: 21854.0 VP: 28141.0 FN: 6112.0 FP: 14812.0)
binario/NaiveBayes| CPU: 1000%|, Memória: 100.K |Tempo: 56|, Acc: 70.5410385131836%s (VN: 21508.0 VP: 28519.0 FN: 5734.0 FP: 15158.0)
binario/NaiveBayes| CPU: 1000%|, Memória: 100.K |Tempo: 89|, Acc: 70.56924438476562%s (VN: 21805.0 VP: 28242.0 FN: 6011.0 FP: 14861.0)
binario/NaiveBayes| CPU: 1000%|, Memória: 100.K |Tempo: 116|, Acc: 73.44717407226562%s (VN: 23639.0 VP: 28449.0 FN: 5804.0 FP: 13027.0)
binario/NaiveBayes| CPU: 1000%|, Memória: 100.K |Tempo: 148|, Acc: 76.36317443847656%s (VN: 23847.0 VP: 30309.0 FN: 3944.0 FP: 12819.0)
binario/NaiveBayes| CPU: 1000%|, Memória: 100.K |Tempo: 42|, Acc: 70.49591827392578%s (VN: 21854.0 VP: 28141.0 FN: 6112.0 FP: 14812.0)
binario/NaiveBayes| CPU: 1000%|, Memória: 100.K |Tempo: 56|, Acc: 70.5410385131836%s (VN: 21508.0 VP: 28519.0 FN: 5734.0 FP: 15158.0)
binario/NaiveBayes| CPU: 1000%|, Memória: 100.K |Tempo: 19|, Acc: 56.25996017456055%s (VN: 34520.0 VP: 5379.0 FN: 28874.0 FP: 2146.0)
binario/NaiveBayes| CPU: 1000%|, Memória: 100.K |Tempo: 42|, Acc: 70.49591827392578%s (VN: 21854.0 VP: 28141.0 FN: 6112.0 FP: 14812.0)
binario/NaiveBayes| CPU: 1000%|, Memória: 100.K |Tempo: 90|, Acc: 70.56924438476562%s (VN: 21805.0 VP: 28242.0 FN: 6011.0 FP: 14861.0)
